,tx_hash,index,type,raw_amount,dollar_value,token_contract_address,token_name,token_dollar_value,from,to,sender,timestamp
45,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,1,Transfer,65480577672610,,0xf83a3233e78c7e1c6bdd0a5fea0b1f00c00e7623,None,None,0x64e15218e70e6108c9ae5b5dc6c8b740898676bb,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
46,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,1,Transfer,300000000000000000,965.92500000000000004,None,Ethereum,3219.75,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
47,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,1,Transfer,300000000000000000,965.92500000000000004,None,Ethereum,3219.75,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,1709719163
48,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,0,Mint,3000000000000000000,9651.1201171875,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,None,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
49,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,0,Transfer,3000000000000000000,9651.1201171875,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x6ef2445ce0aef470c5ace507516e50c0a77e3802,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
50,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,0,Transfer,22747560761854457738160,2338.3354492366175976891,0x9fdfb933ee990955d3219d4f892fd1f786b47c9b,Meme Kombat,0.10279499739408493,0x6ef2445ce0aef470c5ace507516e50c0a77e3802,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
51,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,0,Transfer,3000000000000000000,9659.25,None,Ethereum,3219.75,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
52,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,0,Transfer,3000000000000000000,9659.25,None,Ethereum,3219.75,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
53,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,2,Mint,3000000000000000000,9651.1201171875,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,None,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
54,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,2,Transfer,3000000000000000000,9651.1201171875,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x6ef2445ce0aef470c5ace507516e50c0a77e3802,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
55,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,2,Transfer,22634391542957298192918,2326.7022196749934551727,0x9fdfb933ee990955d3219d4f892fd1f786b47c9b,Meme Kombat,0.10279499739408493,0x6ef2445ce0aef470c5ace507516e50c0a77e3802,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
56,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,2,Transfer,3000000000000000000,9659.25,None,Ethereum,3219.75,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
57,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,2,Transfer,3000000000000000000,9659.25,None,Ethereum,3219.75,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa9087d967dd05eb34d740c40f8d9dcaedc410c0f,1709719163
58,0xc4a9c7ec9a8bb74204b693a9bea914dfe2ec53e14bf99f79cb16ce5eeed17519,0,Transfer,8135230485579514631,26171.36219911116259,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x0f2e5e488daa815361ada55ef816b47679918897,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x5b1269000061c662aec723e45a58157366009fb3,1709719175
59,0xc4a9c7ec9a8bb74204b693a9bea914dfe2ec53e14bf99f79cb16ce5eeed17519,0,Transfer,20000000000000000000000,10253.200531005859375,0x40a7df3df8b56147b781353d379cb960120211d7,Moby,0.512660026550293,0x5b1269000061c662aec723e45a58157366009fb3,0x0f2e5e488daa815361ada55ef816b47679918897,0x5b1269000061c662aec723e45a58157366009fb3,1709719175
60,0xc4a9c7ec9a8bb74204b693a9bea914dfe2ec53e14bf99f79cb16ce5eeed17519,0,Burn,8135230485579514631,26171.36219911116259,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,None,0x5b1269000061c662aec723e45a58157366009fb3,1709719175
61,0xc4a9c7ec9a8bb74204b693a9bea914dfe2ec53e14bf99f79cb16ce5eeed17519,0,Transfer,8135230485579514631,26193.408355944642233,None,Ethereum,3219.75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x5b1269000061c662aec723e45a58157366009fb3,1709719175
62,0xc4a9c7ec9a8bb74204b693a9bea914dfe2ec53e14bf99f79cb16ce5eeed17519,0,Transfer,8135230485579514631,26193.408355944642233,None,Ethereum,3219.75,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x5b1269000061c662aec723e45a58157366009fb3,0x5b1269000061c662aec723e45a58157366009fb3,1709719175
63,0xc4a9c7ec9a8bb74204b693a9bea914dfe2ec53e14bf99f79cb16ce5eeed17519,1,Transfer,8003010834003434349,25746.006286040019141,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x0f2e5e488daa815361ada55ef816b47679918897,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x5b1269000061c662aec723e45a58157366009fb3,1709719175
