,tx_hash,sender,delta_eth,delta_dollar,token_name_A,token_contract_address_A,delta_token_A,token_name_B,token_contract_address_B,delta_token_B
36,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,0x4e6b065262e3504f2511ef5b8cadc039630803be,-0.36510974965878396,-1174.5726833043939,Ethereum,Ethereum,-0.3648024484212731,Luna Inu,0x78132543d8e20d2417d8a07d9ae199d458a0d581,
37,0x461009b028f0e470a3027830886cdb7aed7cb748ac336334a199885a909ba60b,0xe42b0fe568e7eb591bdf50351fe06b40230b6eba,-0.02405796225326013,-77.39542782699212,BananaCat,0x0590cc9232ebf68d81f6707a119898219342ecb9,-17070743318083.0,Ethereum,Ethereum,-0.024037713433338652
38,0x47b07abab633e39bbbfa2560e57db4fdc43cbcce5186449666d1d1d700c14b2c,0xa69db1db6585972d0366be55bc3e2b03203e32db,0.0,0.0,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0
39,0x49a549461101f35322aada54af42be06299ca89fce532f8074c41999d1e12418,0x95be46b0b874293ff7aca67c12050ce4565f1d8b,-0.0377000007576989,-121.28241191020395,Ethereum,Ethereum,-0.037668269868841975,Super Trump,0x7039cd6d7966672f194e8139074c3d5c4e6dcf65,
40,0x4b8f64a2979095cf2c463b67a409afbec1e59affb6fe5ca067c8bb1f68a96ca8,0x67bb6879b16ef6bc9035e92dd6c24facacb931b6,-1.0006834357728809,-3219.2386793079854,Ethereum,Ethereum,-0.999841192424252,GEKKO,0xf017d3690346eb8234b85f74cee5e15821fee1f4,-5.64383316565595e+26
41,0x4ceedb9e5fc1b1912575173fdbba82e46499672888c24e6ef1219bf5a9f70c1e,0x38bf30d3f1528bbd2bb8a242e9a0f4405affb8d0,-0.024077838412167072,-77.45937022601852,0x7f3b4b68ca0238f387d8b1a8fbc002d0e6d4cd5b,0x7f3b4b68ca0238f387d8b1a8fbc002d0e6d4cd5b,,Ethereum,Ethereum,-0.024057572863116244
42,0x52ee11074830fd4c987567c028a6d38d66f429cfba7aa787852a7e532899e83a,0xab8ffec5e4103d7c4cff8550be1c68c8c9dafc81,-0.05877101297261914,-189.06870186917737,Ethereum,Ethereum,-0.05872154728447158,GEKKO,0xf017d3690346eb8234b85f74cee5e15821fee1f4,-3.2392985371339505e+25
43,0x53f7718551d1d82d04cc5879baab184712d672966509bd4473d72722ae9c3fd5,0x8781247955bf2c7b2bab886e864d9bfb29c562bd,-0.024646649263245102,-79.28925750858976,Ethereum,Ethereum,-0.024625904964233173,Lyve Finance,0x0aa1582bebf8d96ea384b6829a5d41278579cd88,-1.1362706176932944e+20
44,0x5604ee0ec1916f3dd6b2cedd1eb46ca34f397e3df316f4392e793301b780f047,0x295976a0208aa8d2500e0b465762613fad7c8752,-0.13439253107579624,-432.3461534217878,Ethereum,Ethereum,-0.13427941716648428,enqAI,0x710287d1d39dcf62094a83ebb3e736e79400068a,-4.245312396991895e+21
45,0x5bf71b0ca15af827736ab3888694c621ee7eb5c6765e3148796d59582c29731f,0x1223d2677610bace06382709851c2a6e11334667,-0.02001589951828426,-64.39195016817227,0x5e4ae56ec652f58ce85aa92ad1d112bbcde117ce,0x5e4ae56ec652f58ce85aa92ad1d112bbcde117ce,-6.9041509282316e+23,Ethereum,Ethereum,-0.019999052773716056
46,0x5c4b2b6f40d545e4d6516e4eb9ba942ccd98107c3358598dcad95eb6ca37f1dc,0xc42c1e503d8c609d9e9ab1d00044830eb6f9a0fe,-0.0008234469695465375,-2.64906187107589,Ethereum,Ethereum,-0.0008227539004816803,Monai,0x8c282c35b5e1088bb208991c151182a782637699,-3.0773909240595005e+18
48,0x5d3b49daa767c190038a4c6a8ad66dea031ec1e2a2d53a1b3c0c3dac12469eb7,0x4960d00d2790c211ee84dcb8b0be1f27f226e828,-0.02337654833395241,-75.20329196540469,0xfadfe3aa73202df64c374c9f2afd0f6029e06dc5,0xfadfe3aa73202df64c374c9f2afd0f6029e06dc5,,Ethereum,Ethereum,-0.023356873038405057
49,0x6326d184ae6ea8ba28dd3ade1030ef7bd0efd6b9d211ffdeeaf872d073a7886c,0x3e9dd8088fe88472621f67ac502b784f0d852b71,-0.08370572899482273,-269.28468167525955,Ethereum,Ethereum,-0.08363527655105507,Kendu Inu,0xaa95f26e30001251fb905d264aa7b00ee9df6c18,
50,0x64046567f97811c26132d760f200c2a3cb4c5401bf4da4d0a4db0b41eb85781c,0xf16b4b87e6f214b60abc8e52e207c5009e14d019,-0.5795165698157375,-1864.3280083973862,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-1.4689075256601252e+21,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-1864.3410098332713
51,0x67631acb91dcafb4e5359b3505e653cbca277497511d4705773809b785a57318,0xf16b4b87e6f214b60abc8e52e207c5009e14d019,-1.0353236962228995,-3330.6777841392486,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-2.8239431927309795e+21,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-3330.701011593575
52,0x6c88869f57410165d986213cd436be155e2f321cf6d22c994aef63b54a40c70c,0x7c52d8d7ccd8e97c9e6b40e1819c4f222b9db05a,-0.01470610342843029,-47.310123547854545,0xb7810116c82a572d64dc85c06a2574acf0039d4b,0xb7810116c82a572d64dc85c06a2574acf0039d4b,,Ethereum,Ethereum,-0.014693725769968025
53,0x6f9f327ccab17819176a52afc575a987453b0a04848c99d6b76b48c3e4ea28eb,0x725ef823a0c7ea654561e13796a9d81a9aa8398a,-0.07927463890412452,-255.02968743679034,Ethereum,Ethereum,-0.07920791596763424,GEKKO,0xf017d3690346eb8234b85f74cee5e15821fee1f4,-3.9214495362834455e+25
54,0x724b605f1d20915213cf8edbba2a33c0f5485a9f81f08593184fbbaa6e3e9a10,0x62cec3b9b5f50e14e6a91e08214e17652f241c5b,-0.028731747594627165,-92.43118240415326,BOBO Coin,0xb90b2a35c65dbc466b04240097ca756ad2005295,,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-92.43182700000034
55,0x7262838213300e33f7e53317f0c40441a5865502bb68aecbe82df21d75ba0da4,0xd880507d359af862a5f8f318c8e934ab478ca818,-0.005887319016862312,-18.93974099998013,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-18.93974099998013
56,0x737b1c6a17602934cb751257ad6d2135e9d936412374569b1cc90e6fc2bf4b32,0xe26d67b169420e2ab7697ba95d35a8a9a27e6158,-2.0357680364209068,-6549.147283409703,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-7.488675345188293e+21,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-6549.147283409703
57,0x7446a1164edd7f2f6346859810a6f207190713baf990b4e142210cdbe9aa325d,0x3e9dd8088fe88472621f67ac502b784f0d852b71,-0.013970265805621565,-44.94290445303031,0xc548e90589b166e1364de744e6d35d8748996fe8,0xc548e90589b166e1364de744e6d35d8748996fe8,-5359882696923.0,Ethereum,Ethereum,-0.013958507478229772
58,0x75b19a2aa7d95d6a9682132386e92c7e20a7765b217c5c2b3c0d57f172edb5b4,0x725ef823a0c7ea654561e13796a9d81a9aa8398a,-0.4378280997304909,-1408.5105270596387,Ethereum,Ethereum,-0.43745959377580207,Monai,0x8c282c35b5e1088bb208991c151182a782637699,-1.578817649826623e+21
59,0x7981a65c3b2095bb51a20474a565aa9ff9a2116d78babb6f45590739a1c05112,0x04e0946d2bf513218411466025e36fdf86f48ad1,-0.14297439835086626,-459.9543640556082,Ethereum,Ethereum,-0.14285406135743714,LNDRY,0x613577bfea8ba6571f6b7a86716d04c80a3fbeb4,-5.22670127243939e+21
60,0x8140d07d7cbfacf91768ae462a250f43889d4675b25a2e6ae1895ed6862c1f49,0xe4c5a1ef83ef1f254e60fbd72ed0a7f0995ff236,-0.047460951628523575,-152.6837816809689,Choppy,0xf938346d7117534222b48d09325a6b8162b3a9e7,,Ethereum,Ethereum,-0.04742100525847315
